学会名,URL,開催日,開催地
日本人工関節学会（第55回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502010.html,2025.02.21（金）-22（土）,名古屋市港区
日本脳神経外傷学会（第48回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503014.html,2025.02.21（金）-22（土）,東京都千代田区
IGICS(International Gastrointestinal Consensus Symposium) 【GIWeek2025として、第21回日本消化管学会総会学術集会、第52回日本潰瘍学会、第18回日本カプセル内視鏡学会学術集会、第23回日本消化管学会教育講演会と合同開催】（The 18th）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502001.html,2025.02.22（土）,東京都新宿区
日本潰瘍学会【GI Week 2025として、第21回日本消化管学会総会学術集会、The 18th IGICS、第18回日本カプセル内視鏡学会学術集会、第23回日本消化管学会教育講演会と合同開催】（第52回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502004.html,2025.02.22（土）-23（日）,東京都新宿区
日本カプセル内視鏡学会学術集会【GI Week 2025として、第21回日本消化管学会総会学術集会、The 18th IGICS、第52回日本潰瘍学会、第23回日本消化管学会教育講演会と合同開催】（第18回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502005.html,2025.02.23（日）,東京都新宿区
日本消化管学会教育講演会【GI Week 2025として、第21回日本消化管学会総会学術集会、The 18th IGICS、第52回日本潰瘍学会、第18回日本カプセル内視鏡学会学術集会と合同開催】（第23回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502007.html,2025.02.23（日）,
日本造血・免疫細胞療法学会総会（第47回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503012.html,2025.02.27（木）-3.1（土）,大阪市北区
日本がん口腔支持療法学会学術大会（第10回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503027.html,2025.03.01（土）-2（日）,松山市
腎と妊娠研究会学術集会（第34回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503025.html,2025.03.01（土）,倉敷市
日本発達心理学会大会（第36回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503018.html,2025.03.04（火）-6（木）,日野市
日本喉頭科学会総会・学術講演会（第37回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503005.html,2025.03.06（木）-7（金）,福島市
日本災害医学会総会・学術集会（第30回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502006.html,2025.03.06（木）-8（土）,名古屋市港区
SAH/スパズム・シンポジウム【「STROKE2025」として、第50回日本脳卒中学会学術集会、第54回日本脳卒中の外科学会学術集会と合同開催】（第41回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503010.html,2025.03.06（木）-8（土）,大阪市北区
日本脳卒中学会学術集会【「STROKE2025」として、第54回日本脳卒中の外科学会学術集会、第41回SAH/スパズム・シンポジウムと合同開催】（第50回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503016.html,2025.03.06（木）-8（土）,大阪市北区
日本脳卒中の外科学会学術集会【「STROKE2025」として、第50回日本脳卒中学会学術集会、第41回SAH/スパズム・シンポジウムと合同開催】（第54回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503017.html,2025.03.06（木）-8（土）,大阪市北区
日本臨床腫瘍学会学術集会（第22回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502019.html,2025.03.06（木）-8（土）,神戸市中央区
日本膵・膵島移植学会学術集会（第52回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502013.html,2025.03.07（金）-8（土）,大阪市天王寺区
日本軟骨代謝学会（第37回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502016.html,2025.03.07（金）-8（土）,名古屋市千種区
日本小児診療多職種研究会（第11回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503026.html,2025.03.08（土）-9（日）,広島市中区
日本胃癌学会総会【第9回日本ハンガリーポーランド外科学会（JHPSS)と同時開催】（第97回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502003.html,2025.03.12（水）-14（金）,名古屋市中村区
日本集中治療医学会学術集会（第52回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503008.html,2025.03.14（金）-16（日）,福岡市博多区
日本医療安全学会学術総会（第11回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504003.html,2025.03.15（土）-16（日）,名古屋市中村区
日本臨床肛門病学会学術集会（第8回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503023.html,2025.03.15（土）-16（日）,東京都新宿区
文化看護学会学術集会（第17回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503024.html,2025.03.16（日）,千葉市中央区
日本解剖学会総会・全国学術集会【第102回日本生理学会、第98回日本薬理学会年会と合同大会】（第130回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503003.html,2025.03.17（月）-19（水）,千葉市美浜区
日本生理学会大会【APPW2025として第130回日本解剖学会総会・全国学術集会、第98回日本薬理学会年会と合同大会】（第102回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503011.html,2025.03.17（月）-19（水）,千葉市美浜区
日本薬理学会年会【第130回日本解剖学会、第102回日本生理学会と合同大会】（第98回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2412016.html,2025.03.17（月）-19（水）,千葉市美浜区
日本寄生虫学会大会（第94回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503004.html,2025.03.18（火）-19（水）,吹田市
日本衛生学会学術総会（第95回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503002.html,2025.03.19（水）-21（金）,さいたま市大宮区
日本再生医療学会総会（第24回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503007.html,2025.03.20（木祝）-22（土）,横浜市西区
日本腹部救急医学会総会（第61回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503020.html,2025.03.20（木祝）-21（金）,名古屋市中村区
総合アレルギー講習会（第11回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503013.html,2025.03.22（土）-23（日）,神戸市中央区
日本薬学会年会（第145回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503021.html,2025.03.26（水）-29（土）,福岡市博多区
日本循環器学会学術集会（第89回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503009.html,2025.03.28（金）-30（日）,横浜市西区
腎と脂質研究会（第37回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2502012.html,2025.03.29（土）,高松市
日本臨床皮膚科医会総会・臨床学術大会（第41回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504019.html,2025.04.05（土）-6（日）,金沢市
日本医学放射線学会総会（第84回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504001.html,2025.04.10（木）-13（日）,横浜市西区
日本外科学会定期学術集会（第125回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504008.html,2025.04.10（木）-12（土）,仙台市青葉区
日本手外科学会学術集会（第68回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504014.html,2025.04.10（木）-11（金）,横浜市西区
日本衛生動物学会大会（第77回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504005.html,2025.04.11（金）-13（日）,長崎市
日本呼吸器学会学術講演会（第65回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504009.html,2025.04.11（金）-13（日）,東京都千代田区
日本老年脳神経外科学会（第38回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504020.html,2025.04.11（金）-12（土）,小田原市
日本骨盤臓器脱手術学会学術集会（第18回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503006.html,2025.04.12（土）-13（日）,札幌市東区
日本形成外科学会総会・学術集会（第68回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504007.html,2025.04.16（水）-18（金）,東京都千代田区
日本眼科学会総会（第129回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504006.html,2025.04.17（木）-20（日）,東京都千代田区
日本耳鼻咽喉科免疫アレルギー感染症学会総会・学術講演会（第5回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504011.html,2025.04.17（木）-19（土）,秋田市
日本脊椎脊髄病学会学術集会（第54回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504013.html,2025.04.17（木）-19（土）,千葉市美浜区
日本泌尿器科学会総会（第112回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504016.html,2025.04.17（木）-19（土）,福岡市博多区
日本病理学会総会（第114回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2503019.html,2025.04.17（木）-19（土）,仙台市青葉区
日本小児科学会学術集会（第128回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504012.html,2025.04.18（金）-20（日）,名古屋市港区
日本内科学会総会・講演会（第122回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504015.html,2025.04.18（金）-20（日）,大阪市北区
日本臨床内科医会総合学術集会（第42回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504018.html,2025.04.20（日）,大阪市中央区
日本消化器病学会総会（第111回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505010.html,2025.04.24（木）-26（土）,東京都新宿区
日本リウマチ学会総会・学術集会（第69回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504017.html,2025.04.24（木）-26（土）,福岡市博多区
日本うつ病リワーク協会年次大会（第8回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504004.html,2025.04.26（土）-27（日）,松本市
日本生殖医学会学術講演会【国際生殖医学会2025（IFFS2025）を併催】（第70回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2511025.html,2025.04.27（日）-28（月）,東京都千代田区
日本化学療法学会総会【第99回日本感染症学会総会・学術講演会と合同学会】（第73回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506006.html,2025.05.08（木）-10（土）,横浜市西区
日本感染症学会総会・学術講演会【第73回日本化学療法学会総会と合同学会】（第99回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506007.html,2025.05.08（木）-10（土）,横浜市西区
日本産業衛生学会（第98回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505008.html,2025.05.14（水）-17（土）,仙台市青葉区
日本口腔科学会学術集会（第79回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507005.html,2025.05.15（木）-17（土）,松本市
日本呼吸器外科学会学術集会（第42回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505007.html,2025.05.15（木）-16（金）,東京都港区
日本眼形成再建外科学会学術集会（第12回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505003.html,2025.05.17（土）,京都市上京区
高血圧フォーラム2025,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505006.html,2025.05.17（土）-18（日）,広島市中区
日本旅行医学会大会（第23回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505021.html,2025.05.17（土）-18（日）,
日本血管外科学会学術総会（第53回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505005.html,2025.05.21（水）-23（金）,北九州市小倉北区
日本外科系連合学会学術集会（第50回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506014.html,2025.05.21（水）-23（金）,福井市
日本神経学会学術大会（第66回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505013.html,2025.05.21（水）-24（土）,大阪市北区
日本整形外科学会学術総会（第98回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505015.html,2025.05.22（木）-25（日）,東京都千代田区
日本ハンセン病学会総会・学術大会（第98回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506036.html,2025.05.22（木）-23（金）,新発田市
日本ヘルニア内視鏡外科手術手技研究集会【第23回日本ヘルニア学会学術集会と併催】（第22回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505025.html,2025.05.22（木）,盛岡市
日本栄養・食糧学会大会（第79回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505002.html,2025.05.23（金）-25（日）,名古屋市千種区
日本産科婦人科学会学術講演会（第77回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2504010.html,2025.05.23（金）-25（日）,岡山市北区
日本ヘルニア学会学術集会【第22回日本ヘルニア内視鏡外科手術手技研究集会と併催】（第23回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505024.html,2025.05.23（金）-24（土）,盛岡市
日本温泉気候物理医学会総会・学術集会（第90回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506004.html,2025.05.24（土）-25（日）,横浜市中区
日本耳鼻咽喉科頭頸部外科学会総会・学術講演会（第126回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505009.html,2025.05.27（火）-30（金）,横浜市西区
日本細菌学会総会（第98回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2508008.html,2025.05.29（木）-31（土）,金沢市
日本糖尿病学会年次学術集会（第68回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505018.html,2025.05.29（木）-31（土）,岡山市北区
日本熱傷学会総会・学術集会（第51回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506035.html,2025.05.29（木）-30（金）,金沢市
日本皮膚科学会総会（第124回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506037.html,2025.05.29（木）-6.1（日）,横浜市西区
日本超音波医学会学術集会【WFUMB2025を同時開催】（第98回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505017.html,2025.05.30（金）-6.1（日）,京都市左京区
日本輸血・細胞治療学会学術総会（第73回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505020.html,2025.05.30（金）-6.1（日）,札幌市白石区
日本理学療法学術研修大会（第60回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506043.html,2025.05.31（土）-6.1（日）,東京都千代田区
日本プラセンタ医学会大会（第35回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506049.html,2025.06.01（日）,東京都千代田区
日本小児神経学会学術集会（第67回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505012.html,2025.06.04（水）-7（土）,米子市
日本肝臓学会総会（第61回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506008.html,2025.06.05（木）-6（金）,東京都千代田区
日本小児外科学会学術集会（第62回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505011.html,2025.06.05（木）-7（土）,東京都千代田区
日本神経病理学会総会学術研究会（第66回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505014.html,2025.06.05（木）-7（土）,和歌山市
日本生体医工学会大会（第64回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505016.html,2025.06.05（木）-7（土）,福井市
日本内分泌学会学術総会（第98回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506034.html,2025.06.05（木）-7（土）,千葉市美浜区
日本麻酔科学会学術集会（第72回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506042.html,2025.06.05（木）-7（土）,神戸市中央区
日本医工学治療学会学術大会（第41回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505001.html,2025.06.06（金）-8（日）,熊本市中央区
日本結核・非結核性抗酸菌症学会学術講演会（第100回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505004.html,2025.06.06（金）-7（土）,横浜市西区
日本小児神経外科学会（第53回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506024.html,2025.06.06（金）-7（土）,奈良市
日本東洋医学会学術総会（第75回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505019.html,2025.06.06（金）-8（日）,東京都新宿区
日本がん薬剤学会（JSOPP）学術大会（第17回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506011.html,2025.06.07（土）,鹿児島市
日本法医学会学術全国集会（第109次）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506041.html,2025.06.11（水）-13（金）,久留米市
日本医療機器学会大会（第100回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506002.html,2025.06.12（木）-14（土）,横浜市西区
日本呼吸器内視鏡学会学術集会（第48回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506017.html,2025.06.12（木）-13（金）,仙台市青葉区
日本リハビリテーション医学会学術集会（第62回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506044.html,2025.06.12（木）-14（土）,京都市左京区
日本肝胆膵外科学会学術集会（第37回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506009.html,2025.06.13（金）-14（土）,軽井沢町
日本自己血輸血・周術期輸血学会学術総会（第38回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507008.html,2025.06.13（金）-14（土）,名古屋市中村区
日本在宅医療連合学会大会（第7回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507006.html,2025.06.14（土）-15（日）,長崎市
日本小児科医会総会フォーラムinKOBE（第36回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506022.html,2025.06.14（土）-15（日）,神戸市中央区
日本小児精神神経学会（第133回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2511019.html,2025.06.14（土）-15（日）,川崎市中原区
日本カイロプラクティック科学学会学術大会（第16回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506005.html,2025.06.15（日）-16（月）,
日本がん転移学会学術集会・総会（第34回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506010.html,2025.06.19（木）-20（金）,淡路市
日本小児耳鼻咽喉科学会総会・学術講演会（第20回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507011.html,2025.06.19（木）-20（金）,倉敷市
日本頭蓋底外科学会（第37回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506048.html,2025.06.19（木）-20（金）,長崎市
日本精神神経学会学術総会（第121回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506029.html,2025.06.19（木）-21（土）,神戸市中央区
日本臨床救急医学会総会・学術集会（第28回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507027.html,2025.06.19（木）-21（土）,横浜市西区
日本腎臓学会学術総会（第68回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506028.html,2025.06.20（金）-22（日）,横浜市西区
日本プライマリ・ケア連合学会学術大会（第16回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506040.html,2025.06.20（金）-22（日）,札幌市白石区
日本交通医学会総会（第79回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506016.html,2025.06.21（土）-22（日）,東京都渋谷区
日本心身医学会総会ならびに学術講演会（第66回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506027.html,2025.06.21（土）-22（日）,弘前市
腸内細菌学会学術集会（第29回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506031.html,2025.06.23（月）-24（火）,東京都江戸川区
日本食道学会学術集会（第79回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507013.html,2025.06.26（木）-27（金）,京都市左京区
日本医療情報学会看護学術大会（第26回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2508004.html,2025.06.27（金）-28（土）,鹿児島市
日本血栓止血学会学術集会（第47回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506015.html,2025.06.27（金）-29（日）,名古屋市中村区
日本消化器がん検診学会総会（第64回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506021.html,2025.06.27（金）-29（日）,旭川市
日本透析医学会学術集会・総会（第70回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506032.html,2025.06.27（金）-29（日）,大阪市北区、福島区
日本臨床細胞学会総会春期大会（第66回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506045.html,2025.06.27（金）-29（日）,東京都新宿区
日本老年医学会学術集会（第67回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506047.html,2025.06.27（金）-29（日）,千葉市美浜区
医療薬学フォーラム／第33回クリニカルファーマシーシンポジウム（2025）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506050.html,2025.06.28（土）-29（日）,旭川市
日本睡眠学会定期学術集会（第49回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507015.html,2025.06.28（土）-29（日）,広島市南区
日本医療情報学会春季学術大会（シンポジウム2025 in 仙台）（第29回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506003.html,2025.07.03（木）-5（土）,仙台市青葉区
大腸癌研究会学術集会（第103回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2601004.html,2025.07.03（木）-4（金）,福井市
日本リンパ腫学会学術集会・総会【第28回日本血液病理研究会と合同開催】（第65回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506046.html,2025.07.03（木）-5（土）,名古屋市中村区
日本緩和医療学会学術大会（第30回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506012.html,2025.07.04（金）-5（土）,福岡市博多区
日本医薬品情報学会総会・学術大会（第27回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506001.html,2025.07.05（土）-6（日）,広島市南区
日本クリティカルケア看護学会学術集会（第21回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2506013.html,2025.07.05（土）-6（日）,東京都江東区
日本女性骨盤底医学会（第27回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2508010.html,2025.07.05（土）-6（日）,福岡市中央区
日本動脈硬化学会総会・学術集会（第57回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507019.html,2025.07.05（土）-6（日）,つくば市
日本環境感染学会総会・学術集会（第40回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507002.html,2025.07.10（木）-12（土）,横浜市西区
日本小児循環器学会総会・学術集会（第61回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507012.html,2025.07.10（木）-12（土）,津市
日本乳癌学会学術総会（第33回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507022.html,2025.07.10（木）-12（土）,東京都新宿区
日本ペインクリニック学会学術集会（第59回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507026.html,2025.07.10（木）-12（土）,東京都港区
日本遺伝子診療学会大会（第32回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2509003.html,2025.07.11（金）-12（土）,浜松市中央区
日本老年泌尿器科学会（第38回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2505022.html,2025.07.11（金）-12（土）,東京都千代田区
日本周産期・新生児医学会学術集会（第61回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507009.html,2025.07.13（日）-15（火）,大阪市北区
日本消化器外科学会総会（第80回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507010.html,2025.07.16（水）-18（金）,神戸市中央区
日本整形外科学会骨・軟部腫瘍学術集会（第58回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507016.html,2025.07.17（木）-18（金）,奈良市
日本婦人科腫瘍学会学術講演会（第67回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507025.html,2025.07.17（木）-19（土）,東京都千代田区
日本白内障学会総会【第51回水晶体研究会と合同開催】（第64回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2508012.html,2025.07.18（金）-20（日）,金沢市
日本渡航医学会学術集会（第29回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507021.html,2025.07.19（土）-20（日）,奈良市
日本臨床脳神経外科学会（第28回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507028.html,2025.07.19（土）-20（日）,高知市
日本在宅薬学会学術大会（第18回）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507007.html,2025.07.20（日）-21（月祝）,東京都江東区
JCRミッドサマーセミナー（2025）,https://medical.nikkeibp.co.jp/inc/all/gakkai/calendar/if2507029.html,2025.07.20（日）-21（月祝）,神戸市中央区
